"","DATE","TIME","Tb","SUN_EXPOSURE","day","month","year","datetime"
"1","21/05/1997",10,33.9,NA,"21","05","1997",1997-05-21 10:00:00
"2","25/07/1997",10,35.6,NA,"25","07","1997",1997-07-25 10:00:00
"3","14/05/1997",14,32.4,"Clouded","14","05","1997",1997-05-14 14:00:00
"4","14/05/1997",14,35,"Clouded","14","05","1997",1997-05-14 14:00:00
"5","14/05/1997",16,31.9,"Clouded","14","05","1997",1997-05-14 16:00:00
"6","14/05/1997",17,29.3,"Clouded","14","05","1997",1997-05-14 17:00:00
"7","21/05/1997",13,30.2,"Clouded","21","05","1997",1997-05-21 13:00:00
"8","21/05/1997",15,34.7,"Clouded","21","05","1997",1997-05-21 15:00:00
"9","21/05/1997",16,32.9,"Clouded","21","05","1997",1997-05-21 16:00:00
"10","21/05/1997",19,33,"Clouded","21","05","1997",1997-05-21 19:00:00
"11","29/05/1997",15,34.3,"Clouded","29","05","1997",1997-05-29 15:00:00
"12","29/05/1997",15,30.7,"Clouded","29","05","1997",1997-05-29 15:00:00
"13","29/05/1997",15,35.5,"Clouded","29","05","1997",1997-05-29 15:00:00
"14","29/05/1997",16,33.8,"Clouded","29","05","1997",1997-05-29 16:00:00
"15","29/05/1997",16,34.9,"Clouded","29","05","1997",1997-05-29 16:00:00
"16","29/05/1997",18,27.6,"Clouded","29","05","1997",1997-05-29 18:00:00
"17","29/05/1997",19,27.7,"Clouded","29","05","1997",1997-05-29 19:00:00
"18","17/07/1997",10,31.6,"Clouded","17","07","1997",1997-07-17 10:00:00
"19","17/07/1997",11,33.1,"Clouded","17","07","1997",1997-07-17 11:00:00
"20","17/07/1997",12,32.5,"Clouded","17","07","1997",1997-07-17 12:00:00
"21","17/07/1997",12,29.8,"Clouded","17","07","1997",1997-07-17 12:00:00
"22","17/07/1997",12,33.2,"Clouded","17","07","1997",1997-07-17 12:00:00
"23","17/07/1997",14,32.6,"Clouded","17","07","1997",1997-07-17 14:00:00
"24","17/07/1997",15,35.7,"Clouded","17","07","1997",1997-07-17 15:00:00
"25","17/07/1997",15,34.9,"Clouded","17","07","1997",1997-07-17 15:00:00
"26","17/07/1997",16,34,"Clouded","17","07","1997",1997-07-17 16:00:00
"27","17/07/1997",17,31.1,"Clouded","17","07","1997",1997-07-17 17:00:00
