"section","subsection","element","Value"
"Overview","Authorship","Study title","Correlative vs hybrid species distribution models for Psammodromus algirus: integrating biophysical mechanistic layers into climate-based projections"
"Overview","Authorship","Author names","Juan G. Rubalcaba, Guillermo Fandos, Jose A. Diaz"
"Overview","Authorship","Contact ","jg.rubalcaba@gmail.com"
"Overview","Authorship","Study link",""
"Overview","Model objective","Model objective","Projection. We project the current and future distribution of P. algirus under climate change, comparing purely correlative BRT models against hybrid models that incorporate mechanistic thermoregulatory layers."
"Overview","Model objective","Target output","Habitat suitability (continuous, 0-1) and binary presence/absence maps derived via two binarization thresholds (P10 and maxSSS). Secondary outputs include range change metrics, niche overlap statistics, and extrapolation assessment."
"Overview","Focal Taxon","Focal Taxon","Psammodromus algirus (Linnaeus, 1758) — Large psammodromus (Lacertidae)"
"Overview","Location","Location","Western Mediterranean Basin, centred on the Iberian Peninsula and extending into southern France and northwestern Africa."
"Overview","Scale of Analysis","Spatial extent","Longitude: -10 to 10 E; Latitude: 30 to 50 N. Extent defined by the mechanistic layer rasters (NicheMapR output for the Iberian region)."
"Overview","Scale of Analysis","Spatial resolution","2.5 arcmin (~4.6 km at equator) for bioclimatic variables; 10 arcmin (~18.5 km) for mechanistic layers. All layers resampled to the mechanistic layer grid (10 arcmin) for modelling."
"Overview","Scale of Analysis","Temporal extent","Current: 1970-2000 (WorldClim v2.1 baseline). Future: 2041-2060 (mid-century CMIP6 projections)."
"Overview","Scale of Analysis","Temporal resolution","Climate normals (30-year averages for current; 20-year averages for future)."
"Overview","Scale of Analysis","Boundary","Natural. Study area defined by a 50 km buffer around occurrence points (M_core), extended by 100 km for background sampling (M_bg), masked to land."
"Overview","Biodiversity data","Observation type","Citizen science and field survey records from GBIF."
"Overview","Biodiversity data","Response data type","Presence-background. Occurrences from GBIF; pseudo-absences generated as spatially weighted background points within M_core."
"Overview","Predictors","Predictor types","Climatic (bioclimatic variables from WorldClim) and mechanistic/biophysical (thermoregulatory inaccuracy and daily activity hours derived from NicheMapR)."
"Overview","Hypotheses","Hypotheses","(1) The distribution of P. algirus is primarily constrained by thermal seasonality, cold tolerance, and precipitation regime. (2) Incorporating mechanistic thermoregulatory layers (body temperature deviation and activity time) improves future projections by capturing physiological constraints not represented by bioclimatic variables alone. (3) Hybrid models will diverge from correlative models more strongly under future scenarios, reflecting the added value of mechanistic constraints under novel climates."
"Overview","Assumptions","Model assumptions","(1) Pseudo-equilibrium: current occurrences reflect the species' climatic niche. (2) No biotic interactions or dispersal limitations explicitly modelled. (3) Space-for-time substitution: relationships fitted to current conditions are transferable to future climates. (4) Mechanistic predictors for future scenarios are re-derived per GCM (and per SSP, where applicable) through the biophysical framework, so that climate-model uncertainty propagates through the thermoregulatory step rather than being held constant; parametric uncertainty internal to the NicheMapR simulation (soil properties, vegetation cover, microhabitat availability) is not propagated. (5) Detection probability is assumed constant across the study area."
"Overview","Algorithms","Modelling techniques","Boosted Regression Trees (BRT), implemented via the gbm package (Gradient Boosting Machines with Bernoulli distribution)."
"Overview","Algorithms","Model complexity","Fixed hyperparameters: tree complexity (interaction depth) = 5, learning rate (shrinkage) = 0.001, bag fraction = 0.75, maximum trees = 10,000. Optimal number of trees selected per fold by maximising test-set AUC across a sequence of 200 to 10,000 trees. No grid search; parameters follow Elith et al. (2008) recommendations for slow learning with high tree complexity."
"Overview","Algorithms","Model averaging","Simple ensemble averaging. Each model type (correlative, hybrid) is represented by a super-ensemble of 50 BRT models (10 repeats x 5 folds). Predictions are the unweighted arithmetic mean across all 50 ensemble members."
